id,name,lat,lon
358951426,Ridgeview Baptist Church,39.7676731,-105.141935
358951430,Saint James Episcopal Church,39.7769444,-105.0897222
358951433,Saint Peter And Paul Church,39.7711111,-105.0716667
358951435,Trinity Baptist Church,39.7783333,-105.0694444
358951440,Wheatridge Presbyterian Church,39.7688889,-105.1
358951665,Calvary Chapel South Denver,39.5790933,-105.0991985
358951668,The Church of Jesus Christ of Latter-day Saints,39.5942395,-105.0785321
358951673,Columbine Baptist Church,39.5949596,-105.0608325
358951676,Columbine Church of Christ,39.5811111,-105.0866667
358951680,Columbine Unitarian Universalist Church,39.5944444,-105.0769444
358951683,Deer Creek Community Church,39.5688889,-105.0733333
358951686,Fellowship Church,39.5816667,-105.0980556
358951694,Ken Caryl Baptist Church,39.5816667,-105.0911111
358951701,Living Savior Lutheran Church,39.5947222,-105.0883333
358951704,Meadowbrook Christian Church,39.5811111,-105.0722222
358951707,Saint Gregory's Episcopal Church,39.5666667,-105.0711111
358951711,Trinity Christian Center,39.595,-105.0675
358951740,Bergen Park Evangelical Free Church,39.6913889,-105.3619444
358951743,Christ The King Catholic Church,39.6383333,-105.3325
358951746,Church of the Hills,39.6286111,-105.3227778
358951753,First Baptist Church,39.6411111,-105.3383333
358951758,First Church of Christ Scientist,39.6386111,-105.3183333
358951761,Lutheran Church of the Cross,39.6386111,-105.3208333
358951764,Mountain Song Foursquare Church,39.6363889,-105.2680556
358951854,Saint Matthew's Episcopal Church,39.5175,-104.7622222
358951858,Christ Our Redeemer African Methodist Episcopal Church,39.7913889,-104.835
358951861,First Christian Assembly Church,39.7925,-104.8436111
358951865,Light of the World Praise Church,39.7731327,-104.8484837
358951869,Montbello Catholic Parish Church,39.7925,-104.8241667
358951873,Northeast Church of Christ,39.7924905,-104.8234621
358951876,Saint Andrew Lutheran Church,39.7856498,-104.8458754
358951883,True Light Baptist Church,39.7866667,-104.8238889
358951886,United Church of Montbello,39.7841667,-104.8322222
358951890,Vietnamese Community Baptist Church,39.7891667,-104.8186111
358951893,Aurora First United Methodist Church,39.7613738,-104.8363233
358951897,Our Lady of Victory Roman Catholic Chapel,39.7540126,-104.819105
358951900,Khmer Christian Reformed Church,39.7666667,-104.8072222
358951907,Christ The King Fellowship Church,39.9144444,-104.9688889
358951911,Calvary Community Baptist Church,39.9136088,-104.9670755
358951915,Trinity Chrsitian Fellowship Church,39.9133351,-104.9592966
358951918,Good Shepherd United Methodist Church,39.9277797,-104.9428919
358951921,Village Baptist Church,39.9275,-104.9341667
358951928,North Metro Church,39.9236111,-104.9408333
358951932,Lord of Life Lutheran Church,39.9160681,-104.9343193
358951938,Saint John's Lutheran Church,39.8967837,-104.9397058
358951942,Saint Stephen's Episcopal Church,39.7223268,-104.8480171
358951945,Parkview Congregational Church,39.7213889,-104.8411111
358951947,Hands-On Christian Church,39.696915,-104.8373745
358951949,Christ The Savior Lutheran Church,39.6970761,-104.8512041
358951957,Tower Community Fellowship Church,39.6831448,-104.7717105
358951961,Christ Our Redeemer Evangelical Lutheran Church,39.6737842,-104.7782786
358951965,New Life Evangelical Free Church,39.6732474,-104.7796948
358951968,Redeemed Chrsitian Church of God,39.6740722,-104.7938473
358951971,All Saints Lutheran Church,39.6749287,-104.8051646
358951976,Meadowood Church,39.6597222,-104.7997222
358951980,Meadow Hills Baptist Church,39.655473,-104.8063031
